,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.1,std_ncluster_0.1,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,10B_norm_entr,100B_norm_entr,avg_ncluster_0.01,std_ncluster_0.01,avg_ncluster_0.00001,std_ncluster_0.00001
415,100,1.0,0.3,0.0,0.0,0.2,1000000,0.5,1.1793545346133802,0.12478635688970476,0.028765309300000007,0.10462659956163474,88.97,58.176057243196155,1.1793545346133802,0.12416085742755935,97.0,0.4977620100000001,0.10128919688968416,0.5001525,0.0141,0.9207,0.0358,0.0404,0.2974090897754001,0.15462390774589965,0.3021974669546957,0.1574356081455889,0.13277635958435788,0.07468505110414246,1.1793545346133802,0.12416085742755935,2.0243179076394786,0.8670908060265198
416,100,1.0,0.3,0.5,0.5,0.2,1000000,0.5,1.298278582605013,0.24700148015812945,0.039530183045,0.1205970545252405,45.67,17.775851852749817,1.2777262332416648,0.20935361907657607,97.0,0.4979900715,0.11809002110548512,0.5001855000000001,0.0194,0.8845999999999998,0.0447,0.05140000000000002,0.4358671220923837,0.24274136094637136,0.5316515672641698,0.3183152579790939,0.19459005028273502,0.13139231400862336,1.2981931875707926,0.2457042777387283,3.9259316075758495,1.8548170310767813
417,100,1.0,0.3,0.75,0.75,0.2,1000000,0.5,1.3171452188329411,0.2201195763492594,0.042274182418,0.12381468933229504,39.98,7.378620494648062,1.299487780966593,0.19719321259537576,97.0,0.4978355404,0.1251891250314054,0.5000939999999999,0.0229,0.8763000000000001,0.04830000000000001,0.050600000000000006,0.45494170585312,0.2184484147343776,0.5629978281961164,0.3004273894396753,0.20310577451379366,0.13913922573233142,1.3171452188329422,0.21901621312874456,4.743469497659415,1.6507263077427423
418,100,1.0,0.3,1.0,1.0,0.2,1000000,0.5,1.3272983875342392,0.19845208566290687,0.044426877002,0.12731385655915306,39.45,7.55100501706076,1.3104903394093683,0.17833557819007032,97.0,0.4975255956000001,0.12886944533666472,0.5002225,0.0267,0.8722,0.0467,0.0519,0.5083139053779809,0.2274372540869352,0.6240754367602178,0.2900860694208289,0.22693344690024536,0.15423393967185156,1.3272621195957768,0.19742458153696468,5.120338516924911,1.7631589894098876
419,100,1.0,0.3,1.25,1.25,0.2,1000000,0.5,1.3734354591720819,0.1634878950294915,0.05084987663,0.1360932512262074,40.63,7.294186144810915,1.3567216082102769,0.14892045331924875,97.0,0.4960465319999999,0.1424504604684719,0.500233,0.0314,0.8549,0.053,0.0585,0.5963495168508501,0.2299459476033843,0.7241421488316014,0.27950299618378377,0.2662363747763837,0.17896441666818985,1.3734354591720819,0.16266840167334984,5.501647148654554,2.1935741551752543
420,100,1.0,0.3,1.5,1.5,0.2,1000000,0.5,1.4285268355698868,0.1718580040173803,0.056518205250000016,0.1433984255669727,40.91,6.821082884496543,1.4078832548270268,0.1558607151258598,97.0,0.491278819,0.15150473842211112,0.5002179999999999,0.0376,0.8380000000000001,0.05430000000000002,0.06720000000000001,0.6706623997995144,0.22351107202778228,0.8118256539925861,0.26387591431235496,0.2994128794877682,0.20063450917402884,1.4285268355698872,0.17099655496351238,5.509635007214686,1.9885872666691289
421,100,1.0,0.4,0.0,0.0,0.2,1000000,0.5,1.0260234214884452,0.03152772173478511,0.005782544208000002,0.05068627106604874,35.23,27.683220677347265,1.0260234214884454,0.0313696870467045,97.0,0.4995398908,0.03795762973693488,0.4999355,0.0068000000000000005,0.9873999999999998,0.0058,0.0068000000000000005,0.07943017341412613,0.10175644740303637,0.08008934078732699,0.1022753677639229,0.03546108585667799,0.019793271498517617,1.0260234214884454,0.0313696870467045,2.6873302218691344,0.8913279044505127
422,100,1.0,0.4,0.5,0.5,0.2,1000000,0.5,1.0197607292384079,0.02568238495613808,0.004581205,0.04462959398976543,28.53,8.62396824453965,1.019741541043423,0.02549686821259893,97.0,0.4996786400000001,0.030853118274185982,0.500073,0.0053,0.9904,0.004300000000000001,0.0053,0.09594296067670433,0.15454597132914655,0.09668843267164068,0.15501102641298836,0.0428331126530743,0.023895569370684017,1.0197607292384083,0.025553650386293425,3.986370938700919,1.4068547122329806
423,100,1.0,0.4,0.75,0.75,0.2,1000000,0.5,1.0355133104645595,0.047872298256042715,0.007545808940000002,0.057072631079545785,29.2,7.504880566886611,1.0351368602494504,0.046305943636160335,97.0,0.498921459,0.04281890590680313,0.5001325,0.0098,0.9831999999999996,0.007000000000000001,0.0098,0.19069068381436646,0.22312734160886014,0.19727402528693366,0.2277159240634852,0.08513261925734748,0.04875428245162396,1.0355133104645597,0.047632335350183644,4.239154776417425,1.357428027098053
424,100,1.0,0.4,1.0,1.0,0.2,1000000,0.5,1.040498187264432,0.0477540009058732,0.008624613246300001,0.06116746086474874,32.02,6.857834861667273,1.0402557409672746,0.04687630587509156,97.0,0.49960274963,0.046318252691756434,0.5000715,0.0102,0.9808,0.009000000000000001,0.0102,0.1535674927677593,0.18418447306218272,0.15939747071611254,0.18938398701862733,0.06855921133950102,0.03939347462528073,1.040498187264433,0.04751463097292202,4.23337980352165,1.309490405213816
425,100,1.0,0.4,1.25,1.25,0.2,1000000,0.5,1.0600775060402867,0.06554619350267507,0.012155601652,0.07216770034667787,32.4,6.076947665505516,1.0591132409535964,0.062117345681732834,97.0,0.4967732396,0.06003161795635752,0.5001774999999999,0.0178,0.9721,0.0101,0.0178,0.2669648316984271,0.2566763039551419,0.2814696704285893,0.2642319899615703,0.11918471798133949,0.06956238558868133,1.0600775060402872,0.06521763908532124,4.668682712933194,1.7261660661853788
