eps,gam,gam_media,p_media,media_op,avg_mean,avg_median,avg_std,perc_extr
0.1,1.25,1.25,0.2,[0.0],0.48756735442699983,0.4951189999999999,0.29221202049518374,0.11309999999999994
0.1,1.5,1.5,0.2,[0.0],0.49380237073300004,0.5020235000000002,0.29896777844846056,0.11689999999999998
0.2,0.0,0.0,0.2,[0.0],0.45481724403600005,0.5344422350000001,0.3120725689100649,0.2844000000000001
0.2,0.25,0.25,0.2,[0.0],0.45237524591399997,0.48485803999999993,0.3073879320559415,0.26149999999999995
0.2,0.5,0.5,0.2,[0.0],0.4582811802340001,0.5144384200000002,0.30690213749509015,0.2504
0.2,0.75,0.75,0.2,[0.0],0.4657757150100001,0.524154705,0.30551709968861274,0.23819999999999994
0.2,1.0,1.0,0.2,[0.0],0.47181317843500026,0.5316904999999997,0.3015335900409889,0.22600000000000006
0.2,1.25,1.25,0.2,[0.0],0.47355570444499984,0.5193276549999998,0.30135729526647986,0.21460000000000015
0.2,1.5,1.5,0.2,[0.0],0.477262422982,0.52176881,0.29838862745969813,0.21220000000000006
0.3,0.0,0.0,0.2,[0.0],0.3937884155150002,0.5107622425000001,0.3080957198813916,0.3901999999999999
0.3,0.25,0.25,0.2,[0.0],0.407788009908,0.49648838079999996,0.29349178698242495,0.3468999999999998
0.3,0.5,0.5,0.2,[0.0],0.4155215854709999,0.5386129639999999,0.28859109841698144,0.3324999999999999
0.3,0.75,0.75,0.2,[0.0],0.4201095755109999,0.5596014075,0.3025377105333491,0.3489000000000001
0.3,1.0,1.0,0.2,[0.0],0.4296299991309999,0.5785428450000003,0.29576562879387247,0.31719999999999987
0.3,1.25,1.25,0.2,[0.0],0.428646879534,0.5568056829999999,0.2879449631082122,0.3167000000000001
0.3,1.5,1.5,0.2,[0.0],0.41697291863700003,0.5555801094999997,0.289364849452088,0.33719999999999983
0.4,0.0,0.0,0.2,[0.0],0.23668727331199993,0.24332270249999993,0.05979396845849462,0.5288
0.4,0.25,0.25,0.2,[0.0],0.20751926218999997,0.2226659183,0.07708376218104392,0.6077999999999999
0.4,0.5,0.5,0.2,[0.0],0.19264777411300002,0.20613557000000005,0.06901069290246319,0.6358
0.4,0.75,0.75,0.2,[0.0],0.16223362854299997,0.1918718875000001,0.10295033318376853,0.7218000000000001
0.4,1.0,1.0,0.2,[0.0],0.18623853870300003,0.23163454649999993,0.11107352848233938,0.6862999999999997
0.4,1.25,1.25,0.2,[0.0],0.23309137519899992,0.3011102809999999,0.15338464827410883,0.6145
0.4,1.5,1.5,0.2,[0.0],0.23145972970399994,0.2883715249999999,0.16417225937429836,0.6286000000000002
0.5,0.0,0.0,0.2,[0.0],0.007945283714,0.006769080499999997,0.01216583741239498,0.9886999999999999
0.5,0.25,0.25,0.2,[0.0],0.003086383570000001,0.001202374,0.01625139508005891,0.9979
0.5,0.5,0.5,0.2,[0.0],0.0023260422629999993,0.0011256979999999998,0.011088594227567743,0.9986
