,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.001,std_ncluster_0.001,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr
171,100,1.0,0.4,1.0,1.0,0.0,1000000,0.5,1.0370375373950511,0.0851707457732737,0.005981951731,0.0482446810574712,10055.71,99994.3769852717,4.537709129042281,1.2195032701834645,576,0.4984071929,0.0281844117639806,0.5010654999999999,0.0057,0.9784,0.0026,0.0075,0.1004552843832269,0.1751597805908744,0.4115596118736607,0.3121962169549631,0.10080703865054258
172,100,1.0,0.5,1.5,1.5,0.5,1000000,0.0,1.4322272486723695,0.4371191353077481,0.0789121118085399,0.2174204624134784,39.4,10.604935005206134,1.941082542860553,1.0877033390158646,576,0.135278377016,0.1978214607049533,0.1206701671,0.8007,0.0088,0.0021,0.8007,0.4108472922636368,0.3080458203099692,0.5160611214174445,0.4267526620536261,0.12640354376838223
173,100,1.0,0.2,0.5,0.5,0.2,1000000,0.05;0.95,3.2081145016954458,0.9947527045567574,0.18881079122,0.3023647727805738,63.31,10.170957862383654,4.557575261255029,1.6495112507525236,576,0.494988134,0.354296861066422,0.52582535,0.3265999999999999,0.269,0.3021,0.3265999999999999,1.175698311429776,0.208922212867449,1.4149981841409254,0.3930340074080241,0.3465883738925518
174,100,1.0,0.4,0.5,0.5,0.1,1000000,0.0,1.0508895454960498,0.1269964687588266,0.0125070573550999,0.086792514695917,53.87,37.1558701535664,2.9428866771115865,0.8611963398879185,576,0.41405032291,0.0491573381034588,0.4213993900000001,0.1546,0.8102000000000001,0.0024,0.1546,0.0930401391845303,0.1591138960809587,0.2252936821084331,0.2757830666474576,0.05518323048423828
175,100,1.0,0.4,0.5,0.5,0.0,1000000,0.5,1.0134482175969055,0.0264159114043718,0.0037298360129999,0.0379863634682443,28.64,21.429951663100606,3.229260818280582,0.8145623358257089,576,0.4916424912999999,0.0213366399753332,0.4911619999999999,0.0025,0.9935,0.0035,0.0028,0.0564870178230452,0.1170214491374566,0.2105821648829028,0.2584874200033931,0.05157980477681631
176,100,1.0,0.3,0.75,0.75,0.3,1000000,0.0,2.0359880920326106,0.8943900088691599,0.14437030282794,0.2724915815173143,38.5,5.68090901817018,4.468263915900733,1.4799244189806395,576,0.425296426354,0.3052010526738271,0.5709616049999999,0.3442,0.1172,0.0119,0.3442,0.7568959160512637,0.2560087345569515,0.9766272877461912,0.4607443090698228,0.2392142034899844
177,100,1.0,0.2,0.75,0.75,0.0,1000000,0.5,4.1878432685264695,1.6956420169106663,0.13366181336,0.2147385451398544,27.13,9.676228290991997,9.100898878381564,3.8399397772465576,576,0.49184531,0.2518171006289872,0.4718509999999999,0.0249,0.1459,0.0647,0.0615,1.3740759064953207,0.2689342743760166,2.144286950097765,0.4026529353837109,0.5252197038292362
178,100,1.0,0.4,1.5,1.5,0.0,1000000,0.05;0.95,1.2253011297481564,0.2915756524014895,0.0086953342559999,0.0583405932939348,108.31,30.16309036226263,6.340513183624823,1.5000749524850152,576,0.4977303748,0.0385007479411401,0.4988374999999999,0.008,0.9752,0.0064,0.0088,0.133768244148335,0.2046744378683289,0.5393411918225065,0.2881558317102098,0.1321057431324706
179,100,1.0,0.5,0.75,0.75,0.3,1000000,0.5,1.0,0.0,0.0002364229,0.0003820322869918,20.43,3.690706318757038,1.6022404748534924,0.371662790073077,576,0.49988015,0.000437900883673,0.499866,0.0,1.0,0.0,0.0,0.0941632192397109,0.2029727749243935,0.0941632192397109,0.2029727749243935,0.023064253652447735
180,100,1.0,0.2,1.0,1.0,0.2,1000000,0.05;0.5;0.95,2.8189949505171548,0.2645728253002707,0.1763405471899999,0.2799675137905075,60.56,7.870569139894432,3.193469375589216,0.516034703042427,576,0.510113299,0.3296879784757283,0.5000295,0.263,0.4354,0.2855,0.263,1.171378504557165,0.1442772957904811,1.1774015274779368,0.1509896768256088,0.2883916639616995
