,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.01,std_ncluster_0.01,nruns,iqm_niter,iqstd_niter,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr
312,100,1.0,0.2,0.0,0.0,0.1,1000000,0.0,2.3178596707602037,0.4079284013053679,0.15907652763751,0.2720977843675766,93.84,23.44463497457167,2.317859670760203,0.40588363453782883,576,98.79591836734694,5.386982010087799,0.43686365465699994,0.312237220100674,0.45576800749999996,0.2842,0.0194,0.0013,0.0,0.875828912887038,0.16669585503020187,0.880930326423062,0.16500790202744728,0.21693268919225384
313,100,1.0,0.2,0.5,0.5,0.1,1000000,0.0,3.614013419623807,1.5401590075319986,0.16507529671072,0.2699316526650704,98.5,28.091301360407144,3.6131509681729086,1.5298331623451513,576,97.51020408163265,6.878307958103792,0.450936281502,0.3139016238530691,0.47909846500000003,0.27140000000000003,0.015799999999999998,0.0068000000000000005,0.0,1.2578175207908087,0.25661020963220715,1.7208176446124945,0.5187919014345564,0.4237583700529711
314,100,1.0,0.2,0.75,0.75,0.1,1000000,0.0,4.091233667179515,1.8288193746443009,0.16448334784626,0.26380276933854946,99.51,21.31651562483508,4.089630849576544,1.816835427980292,576,98.87755102040816,4.556370973864897,0.45708738652599995,0.30892813424549287,0.4997749499999999,0.2506,0.0235,0.0058000000000000005,0.0,1.3587143755489413,0.2714697250122904,1.9462683558990221,0.4636915568368134,0.4792765280874185
315,100,1.0,0.2,1.0,1.0,0.1,1000000,0.0,3.5975194953960328,1.5279864114827781,0.1585690520685,0.2597883956099668,98.03,21.126580987997656,3.5975194953960323,1.5203272834949906,576,99.26,6.225142568648529,0.4637770718259999,0.3021488629889607,0.5138187499999999,0.23190000000000002,0.0152,0.005600000000000001,0.0,1.3087379436663769,0.2754358271969362,1.8088281954947802,0.45920269327902385,0.4454313275020679
316,100,1.0,0.2,1.25,1.25,0.1,1000000,0.0,4.166119707568887,2.1325297658178792,0.15760483023892002,0.2530445028679917,91.49,20.3069849156303,4.166119707568889,2.1218403262447123,576,93.0,6.039867548216599,0.47250790102999995,0.2958059152421343,0.5248521,0.20550000000000004,0.025500000000000002,0.006100000000000001,0.0,1.409826476823356,0.23653532572437708,2.0097779283076127,0.4127798764572807,0.49491601956455633
317,100,1.0,0.2,1.5,1.5,0.1,1000000,0.0,4.329663204160139,2.227163112382152,0.16656361026459002,0.26418066701729603,103.83,16.630904055311294,4.329813630484677,2.216140432563934,576,103.86,5.035911039722604,0.454692564843,0.31029392808790446,0.48937716499999995,0.25329999999999997,0.0128,0.0074,0.0,1.4610065813289401,0.22093714264808628,2.0688488684401487,0.4084622763706514,0.5094624797234402
318,100,1.0,0.3,0.0,0.0,0.1,1000000,0.0,1.5620012317887682,0.3606197667977355,0.10516075953534,0.2434787073182949,95.73,33.76414181831477,1.5620012317887682,0.35881213753606583,576,99.75555555555556,4.0340525835583225,0.429821325134,0.23908676707022442,0.48736806,0.2594,0.029000000000000005,0.0001,0.0,0.4844963136390667,0.220156537947085,0.48989125036435277,0.21495502193120494,0.1206377203346017
319,100,1.0,0.3,0.5,0.5,0.1,1000000,0.0,1.8647436173101384,1.0021190466499237,0.1089361250247,0.24485596107267615,92.0,24.96543064464796,1.8640615062129142,0.9947489863667297,576,98.97777777777777,4.587368594007239,0.43438365593000006,0.24582367038135086,0.4992193875,0.26030000000000003,0.056400000000000006,0.0016,0.0,0.5987099456895778,0.31764109239892124,0.8380941436323137,0.528961565890574,0.20638410430556975
320,100,1.0,0.3,0.75,0.75,0.1,1000000,0.0,2.0221567562489917,1.326289488466089,0.11192852335039999,0.2453071636016693,98.26,17.744892564375032,2.021297739886047,1.3188570553973298,576,100.19565217391305,4.959047792616219,0.42517371052,0.2506313580117012,0.48042456599999994,0.27759999999999996,0.0576,0.0019,0.0,0.6153652813881141,0.29874033159876534,0.8928314416852943,0.5672952702082598,0.21986338741069972
321,100,1.0,0.3,1.0,1.0,0.1,1000000,0.0,1.9818019459642011,1.131493123246749,0.12203582599754,0.2552148136102988,105.07,17.0857936144138,1.981757945629799,1.1258072385176852,576,105.31914893617021,4.032349945652163,0.4204651071039999,0.26868064651507334,0.48994870500000004,0.3091,0.05120000000000001,0.0006,0.0,0.6946721466354601,0.31710228894073805,1.0132426801273475,0.5213217574443519,0.24951514644397854
