,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster_0.01,std_ncluster_0.01,med_ncluster_0.01,Q1_ncluster_0.01,Q3_ncluster_0.01,iqm_ncluster,std_iqm_ncluster,avg_avg_opinion,std_avg_opinion,med_avg_opinion,Q1_avg_opinion,Q3_avg_opinion,avg_median_opinion,std_median_opinion,med_median_opinion,Q1_median_opinion,Q3_median_opinion,avg_std_opinions,std_std_opinions,med_std_opinions,Q1_std_opinions,Q3_std_opinions,avg_095_perc,std_095_perc,med_095_perc,Q1_095_perc,Q3_095_perc,avg_00_perc,std_00_perc,med_00_perc,Q1_00_perc,Q3_00_perc,avg_05_perc,std_05_perc,med_05_perc,Q1_05_perc,Q3_05_perc,avg_005_perc,std_005_perc,med_005_perc,Q1_005_perc,Q3_005_perc,avg_100B_norm_entr,std_100B_norm_entr,med_100B_norm_entr,Q1_100B_norm_entr,Q3_100B_norm_entr,avg_niter,std_niter,med_niter,Q1_niter,Q3_niter,avg_pwdist,std_pwdist,med_pwdist,Q1_pwdist,Q3_pwdist,iqm_pwdist,std_iqm_pwdist,iqm_niter,std_iqm_niter
150,100,1.0,0.3,0.0,0.0,0.0,1000000,0.05;0.95,1.3923404511225634,0.4144736994766938,1.1384155763967172,1.0201999591920017,1.8910741301059,1.2919430257543039,0.31569126264506425,0.49467997206000003,0.029215003306299864,0.4957520530000001,0.4719585000000001,0.5181235000000001,0.4921565000000001,0.13730437313774824,0.4912,0.4246,0.5487,0.12177458691613224,0.0967105606085142,0.0980007192542218,0.03559968730407325,0.2285778698756001,0.0,0.0,0.0,0.0,0.0,0.0001,0.00099498743710662,0.0,0.0,0.0,0.1094,0.31119389454165064,0.0,0.0,0.0,0.0003,0.002215851980616034,0.0,0.0,0.0,0.0845125557831447,0.06842027642210104,0.07387870818676802,0.021288922954037708,0.1481943540876704,39.33,33.69126147831215,26.5,21.0,37.5,0.10262748232120006,0.1945033803717233,0.000199999999999978,0.0,0.0010000000000000009,0.00019254351313362363,0.0002979128943313413,26.50909090909091,3.9306382885444826
151,100,1.0,0.3,0.5,0.5,0.0,1000000,0.05;0.95,1.908091442727096,1.116475609933728,1.5592029480918368,1.0617965597791463,2.3727037406645506,1.5771459749551755,0.4176770094830942,0.499199784,0.028581382625106577,0.4959774999999999,0.4797699999999999,0.5188553499999998,0.51599,0.12863725471262202,0.5017499999999999,0.43125,0.6245,0.14644742449307793,0.09286985485417124,0.17380173057441006,0.07409014354394873,0.2259865434564069,0.001,0.0045825756949558405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.20624897575503254,0.0,0.0,0.0,0.003200000000000001,0.010476640682967034,0.0,0.0,0.0,0.21459301718437526,0.15164782601832846,0.2005413003216733,0.09358466671070333,0.3466009114638912,30.17,15.784204129445364,27.0,21.5,32.0,0.12976686963999998,0.20809583298667086,0.0020000000000000018,0.0006999999999999784,0.3680000000000001,0.020858122850336062,0.06520804360264873,26.76923076923077,3.39465294824865
152,100,1.0,0.3,0.75,0.75,0.0,1000000,0.05;0.95,1.7764620426086577,1.0206437477441168,1.2309210271129902,1.0201999591920017,2.1245760777879203,1.3825896467009446,0.3640819379883862,0.4982065850000001,0.028696038969385232,0.49572700000000003,0.48058249999999997,0.5182017000000001,0.5023035,0.1166446433092836,0.49895,0.4370000000000001,0.55235,0.12972763546896074,0.09730909619767177,0.13530093080924652,0.042389192163434855,0.2271778928611213,0.0025,0.008170067319184097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1231,0.31379514017906657,0.0,0.0,0.0,0.0008,0.003919183588453085,0.0,0.0,0.0,0.2042949306815384,0.15816608029943682,0.16464880258024425,0.058054711139747674,0.34239170191163865,10033.91,99495.33698672467,30.5,24.0,36.5,0.11353967169999996,0.19926209414890425,0.00219999999999998,0.0009000000000000119,0.08730000000000004,0.005478061970807533,0.012441286801956079,30.33333333333333,3.9737702089077342
153,100,1.0,0.3,1.0,1.0,0.0,1000000,0.05;0.95,1.8563829228041155,1.0551041280660234,1.3151184763270043,1.0,2.5467102023892823,1.3286559492838943,0.4266515124413641,0.4988781679999999,0.029497636314280783,0.49743909999999997,0.47943975,0.517031,0.4967075,0.12100135771449012,0.49385,0.436525,0.5608,0.13230428762819038,0.09665531397885617,0.14207171837660088,0.0030525151417708377,0.22458684880303265,0.0013,0.005942221806698232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917,0.2680113990113107,0.0,0.0,0.0,0.0009,0.004493328387732193,0.0,0.0,0.0,0.23074463301444065,0.15080294578031056,0.19800203912885467,0.10644240187300402,0.37763718878357744,45.31,19.379213090319226,40.0,28.0,60.0,0.11904008595999994,0.19880343665275066,0.003000000000000003,0.0010000000000000009,0.16888499999999998,0.009457565058211909,0.02275332494090644,42.43396226415094,9.643669218641627
154,100,1.0,0.3,1.25,1.25,0.0,1000000,0.05;0.95,1.759578598355474,1.0486570035715166,1.374306909463908,1.0,2.044990117135696,1.2805432697164998,0.32926001183842624,0.500904127,0.02682883707970533,0.49736549999999996,0.4803394999999999,0.5200185,0.516113,0.1092601976064477,0.5025,0.469475,0.571475,0.1199227403403522,0.09711033299453238,0.11944760143767112,0.002929316669558197,0.2170128219174564,0.0023,0.007050531894828929,0.0,0.0,0.0,0.0005,0.003570714214271425,0.0,0.0,0.0,0.1481,0.3250005999994462,0.0,0.0,0.0,0.0028000000000000004,0.009282241108697834,0.0,0.0,0.0,0.22499491390448845,0.1422514484923091,0.20326616300889644,0.13075557650937966,0.3444509699854165,69.79,28.964217579627448,69.0,47.5,90.5,0.10452467369999996,0.1915681430666528,0.003000000000000003,0.0010000000000000009,0.03600000000000003,0.003773224685888539,0.003874219408199239,68.4,12.809371569284732
155,100,1.0,0.3,1.5,1.5,0.0,1000000,0.05;0.95,2.03641682274574,1.2435466996356723,1.5743073047858942,1.1788283921575604,2.5701571660024287,1.6300671907658169,0.31621468146303033,0.5000898478000001,0.02661197350649739,0.5020690000000001,0.4793175,0.5172070999999999,0.505934,0.10860805123930732,0.5004500000000001,0.4422,0.5806499999999999,0.1355024638507778,0.09587470024716724,0.15813135270507522,0.038607154868447416,0.22212979369993027,0.0014000000000000002,0.0058343808583259296,0.0,0.0,0.0,0.0002,0.00198997487421324,0.0,0.0,0.0,0.109,0.2585749407811979,0.0,0.0,0.0,0.0017,0.005840376700179536,0.0,0.0,0.0,0.25275694633848284,0.15179871866532368,0.21377789247070209,0.14419969289834736,0.39174537758619854,94.41,38.11432670269803,94.0,67.0,124.0,0.12033936873200005,0.20155442949093128,0.0040000000000000036,0.0015000000000000011,0.15089999999999998,0.01109259767541095,0.022726026783779718,93.32075471698113,19.229275621817795
156,100,1.0,0.4,0.0,0.0,0.0,1000000,0.05;0.95,1.0099566408472194,0.026954089800899108,1.0,1.0,1.0201999591920017,1.0049425432065535,0.008683918339576827,0.4963725121,0.025925211292335083,0.4969103,0.47725850000000003,0.513228,0.4959549999999999,0.028584469122234894,0.4970000000000001,0.4753,0.5146,0.016686689326424628,0.02837956721433612,0.0004285988100124175,0.0003094319507040041,0.04481681544308809,0.001,0.006244997998398399,0.0,0.0,0.0,0.0002,0.0014000000000000002,0.0,0.0,0.0,0.2713,0.4396831927649724,0.0,0.0,0.975,0.0002,0.0014000000000000002,0.0,0.0,0.0,0.013104012578922622,0.02698622298402512,0.0,0.0,0.012160578674212792,15.61,8.752022623371126,14.0,14.0,15.0,0.0048224867619999995,0.04630803918683672,0.00029999999999996696,0.0,0.0005999999999999892,0.0001867130784114201,0.00020477830759532667,14.38095238095238,0.4856209060564558
157,100,1.0,0.4,0.5,0.5,0.0,1000000,0.05;0.95,1.0223917288156406,0.045738197614741766,1.0,1.0,1.0201999591920017,1.0053024892879006,0.008887838577703583,0.499537876,0.03209491765483476,0.4981819999999999,0.4783730000000001,0.51985035,0.4992159999999999,0.03889811170224077,0.499325,0.4765,0.5215000000000001,0.029322645035044413,0.03866542974242992,0.0020017366481111867,0.0012446207910408182,0.04948386944799738,0.0016,0.006118823416311342,0.0,0.0,0.0,0.0001,0.0009949874371066195,0.0,0.0,0.0,0.2548,0.4197391570964044,0.0,0.0,0.515,0.001,0.0045825756949558405,0.0,0.0,0.0,0.06542038222959015,0.06270235411560687,0.03947890827108773,0.0,0.1317015371482202,27.03,13.318749941342091,22.5,19.0,28.0,0.011227214960000002,0.0677024045531468,0.0012999999999999678,0.0005000000000000004,0.002400000000000013,0.0012942164888415189,0.0005505092382817506,22.26229508196721,2.7395203561534442
158,100,1.0,0.4,0.75,0.75,0.0,1000000,0.05;0.95,1.028130559469962,0.07895262910724124,1.0,1.0,1.030499646540214,1.0021546623138136,0.00623550488132346,0.496925948,0.028704512690768614,0.5000249999999999,0.4820380000000001,0.5139185000000001,0.4962125000000001,0.039093485630600916,0.497975,0.48045,0.5153,0.026632999386819785,0.043046675487236605,0.002024924532047781,0.0012223407383546224,0.05185042844699984,0.001,0.005,0.0,0.0,0.0,0.0002,0.0019899748742132394,0.0,0.0,0.0,0.2786,0.4206875800401053,0.0,0.0,0.79,0.0008,0.004833218389437829,0.0,0.0,0.0,0.060119550550030564,0.06578214598291847,0.02925889006007631,0.0,0.12244435246569645,10032.31,99495.49736633262,29.0,24.0,37.0,0.012146495220000006,0.07054876687479464,0.0015000000000000011,0.0006000000000000449,0.0029000000000000137,0.0015985664952326833,0.0006497604284928997,28.482142857142854,3.679048166056442
159,100,1.0,0.4,1.0,1.0,0.0,1000000,0.05;0.95,1.0318378926078495,0.08182917319093534,1.0,1.0,1.0201999591920017,1.0010493485294547,0.004482818882901913,0.502974142,0.026615631864519696,0.5002449999999999,0.48458450000000003,0.51883,0.503972,0.03498252586649512,0.501625,0.484,0.5205,0.0229924837690594,0.040307826660659095,0.0023240271592318033,0.0015046043351048706,0.024732557320907823,0.0006,0.004431703961232068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2625,0.3914316670889058,0.0,0.0,0.45,0.0016,0.00611882341631134,0.0,0.0,0.0,0.08851324944450062,0.06426400902463858,0.10970458392117363,0.0,0.14248918307838604,20052.67,139992.47741832805,51.5,36.5,64.0,0.011343850400000001,0.06463797226131725,0.0019000000000000128,0.0008000000000000228,0.003499999999999948,0.001945114080213396,0.0007751396866222572,51.62264150943397,8.69227897488023
160,100,1.0,0.4,1.25,1.25,0.0,1000000,0.05;0.95,1.10620850815479,0.18006297143704916,1.0201999591920017,1.0,1.1064394777605664,1.0215583380198827,0.031734320894890165,0.49641589243999995,0.0313615983290878,0.4982135,0.4736775,0.514462,0.4971705000000001,0.039278026996655516,0.49825,0.4701,0.51905,0.03263806865578847,0.04269661839451591,0.003252684542562007,0.0018793702251283426,0.06603581376511905,0.0012,0.0053441556863549535,0.0,0.0,0.0,0.0004,0.0028000000000000004,0.0,0.0,0.0,0.2148,0.3656596231469917,0.0,0.0,0.37,0.0016,0.005953150426454886,0.0,0.0,0.0,0.10621629220235304,0.0629677522166533,0.13225262134597693,0.045887289762179935,0.15012389794089728,10079.48,99490.7595452442,79.5,58.5,95.0,0.014597705397600002,0.07458817931105863,0.002200000000000036,0.0010000000000000009,0.0040000000000000036,0.0022943992479719623,0.0009423406867601412,78.54901960784314,10.134998042098527
161,100,1.0,0.4,1.5,1.5,0.0,1000000,0.05;0.95,1.2177445930663284,0.2821804618915739,1.0617965597791463,1.0,1.4300372525420022,1.0690678806019138,0.10306388340648666,0.4977303748,0.02909753755058441,0.4937078,0.48095299999999996,0.5151560000000002,0.4988374999999999,0.037439410635719136,0.49815,0.476975,0.51925,0.03850074794114018,0.044686940688078505,0.00425895630006296,0.002363209119276109,0.06980105079658486,0.0011,0.00507838557023785,0.0,0.0,0.0,0.0002,0.0019899748742132394,0.0,0.0,0.0,0.2482,0.3890947956475388,0.0,0.0,0.49,0.0017,0.005840376700179535,0.0,0.0,0.0,0.11711645173581887,0.0625722438199931,0.13645032310480415,0.07646749075216593,0.16121382616078975,108.31,30.01189597476308,107.0,87.5,128.0,0.017390668512000013,0.08158446646807127,0.002700000000000036,0.0010000000000000009,0.0050000000000000044,0.0027057240653535,0.0012122785838266995,106.68,11.883501167585251
162,100,1.0,0.5,0.0,0.0,0.0,1000000,0.05;0.95,1.0008119925227243,0.00491398938008655,1.0,1.0,1.0,1.0,0.0,0.498618624,0.03203858950759572,0.4966625000000001,0.47638450000000004,0.5175825000000001,0.498741,0.03249285566089876,0.4967,0.47655,0.5176,0.002154838750187165,0.010355140011177629,0.0003624883874551453,0.00030669640695811366,0.000436750907387995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2814,0.4427279525848803,0.0,0.0,0.985,0.0003,0.002215851980616034,0.0,0.0,0.0,0.020492071491819086,0.041177889063044176,0.0,0.0,0.012160578674212792,12.53,1.1528659939472583,12.0,12.0,13.0,0.0007925167599999999,0.014937082264147812,0.00029999999999996696,0.0,0.0005999999999999892,0.00020547513666273472,0.00021339681960410068,12.477777777777774,0.4995059287330894
163,100,1.0,0.5,0.5,0.5,0.0,1000000,0.05;0.95,1.00020199959192,0.0020098705626108064,1.0,1.0,1.0,1.0,0.0,0.4961079400000001,0.02593957262555417,0.498112,0.4789950000000001,0.5123869999999999,0.4960594999999999,0.02607451791980056,0.49815,0.479,0.5122,0.0018529317043628727,0.005158402568525154,0.0011949255317038748,0.00094541696542605,0.0017184317380745287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2839,0.4244971024636092,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.05382503043446578,0.05960043925987979,0.014629445030038156,0.0,0.11575948986342062,10021.37,99496.59644426587,19.0,17.5,21.0,0.0016196791999999985,0.007580342024545289,0.0011999999999999784,0.0005000000000000004,0.0020000000000000018,0.0012094086831989153,0.0004908564774854104,19.222222222222214,1.082977149423218
164,100,1.0,0.5,0.75,0.75,0.0,1000000,0.05;0.95,1.0035797530859865,0.03177793595617173,1.0,1.0,1.0,1.0,0.0,0.5028326472,0.026212309929892017,0.5049165,0.4845120000000001,0.5225234999999999,0.5029295,0.02638979830824784,0.5045,0.4845,0.5225,0.0025823412041023662,0.007478894899944183,0.001812655560785163,0.0012574410495142265,0.0023732919411355072,0.0,0.0,0.0,0.0,0.0,0.0002,0.0019899748742132394,0.0,0.0,0.0,0.2786,0.4280934944611983,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0562357309049848,0.060092460106646914,0.036182963719736574,0.0,0.12088750553600715,20032.69,139995.3311617709,27.0,22.0,40.0,0.002307291287999999,0.01094902356148489,0.0016999999999999793,0.0007000000000000339,0.003000000000000003,0.0017593154613943173,0.0007082064412359705,27.555555555555557,4.613453220450376
165,100,1.0,0.5,1.0,1.0,0.0,1000000,0.05;0.95,1.0063559184823765,0.03649901620381436,1.0,1.0,1.0,1.0,0.0,0.49528039,0.03058031049446521,0.49568249999999997,0.4777484999999999,0.514004,0.49525699999999995,0.030543681032252808,0.495725,0.47765,0.5137750000000001,0.001999213555218581,0.000700074046533854,0.0017976426951900211,0.0013924851022985964,0.0025445223545774703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.38724798256414455,0.0,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.08791332831031523,0.05964506587426046,0.10397188516350334,0.0,0.14470824742494806,50.23,20.71224517042998,47.5,35.5,59.5,0.002273670600000002,0.001950471487280868,0.0019000000000000128,0.0007999999999999674,0.0033000000000000806,0.0018701115839507016,0.0007273098192788692,47.34,7.196137853043116
166,100,1.0,0.5,1.25,1.25,0.0,1000000,0.05;0.95,1.0635717301259182,0.1542503609812219,1.0,1.0,1.0,1.0,0.0,0.4981219800000001,0.028140667740826603,0.4993809999999999,0.4805214999999999,0.5173175,0.498091,0.028162968043159087,0.499,0.4805,0.5173,0.002494410708909856,0.0007450189227636021,0.002195953864479225,0.0019263931528788528,0.003078650330366539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2909,0.4077477038561959,0.0,0.0,0.645,0.0,0.0,0.0,0.0,0.0,0.10022013914898233,0.05476126706964535,0.1255453881789514,0.07291786005580761,0.14367316421934462,20078.52,139988.78561138245,79.5,62.0,98.0,0.002840691200000002,0.002341954198152169,0.002299999999999969,0.0010000000000000009,0.0041999999999999815,0.002331879533210226,0.0009654091469559504,79.94545454545455,11.09695811197118
167,100,1.0,0.5,1.5,1.5,0.0,1000000,0.05;0.95,1.1946117682862352,0.2597931718962391,1.0,1.0,1.4317556977522523,1.0611321731908925,0.12129010680007918,0.49733011,0.031405757948788623,0.4974345,0.4714765,0.5214719999999999,0.4970245,0.0319029634164289,0.496975,0.47085,0.5215,0.004507356196289982,0.011463577633957313,0.002721655680731541,0.002062003221314835,0.003890015265061985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516,0.3746857883613949,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.10720059019164097,0.059318063514106976,0.13565673917146565,0.07047005146422211,0.1477235308831891,112.39,27.828005677734083,113.5,92.0,132.5,0.0038029174000000017,0.016999928333636515,0.002699999999999925,0.0010000000000000009,0.004700000000000038,0.0025664003888192545,0.00110369397279553,111.40384615384615,12.170676637824426
