n,density,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter
100,1.0,0.3,1.5,1.5,0.0,1000000,0.05;0.5;0.95,1.4047275409710984,0.35731723963814016,0.0626703492,0.15814957450496153,91.6,26.48206940554307
100,1.0,0.4,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.0040399918384004,0.009033696379207498,0.00108206,0.021357816032603002,15.0,1.8708286933869707
100,1.0,0.4,0.25,0.25,0.0,1000000,0.05;0.5;0.95,1.020403064945463,0.020454299996042185,0.005291632199999999,0.04706139910588761,19.8,2.2803508501982757
100,1.0,0.4,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.029468305634613,0.05529717833997121,0.007086429399999995,0.05558217642039153,42.4,32.56224807963971
100,1.0,0.4,0.75,0.75,0.0,1000000,0.05;0.5;0.95,1.0040399918384004,0.009033696379207498,0.0019156366000000024,0.01881857452555012,28.0,11.40175425099138
100,1.0,0.4,1.0,1.0,0.0,1000000,0.05;0.5;0.95,1.0163197335553704,0.02234671550187603,0.004959901600000001,0.04230756024446925,45.2,22.253089673121796
100,1.0,0.4,1.25,1.25,0.0,1000000,0.05;0.5;0.95,1.0537135124877217,0.03220837229146198,0.013408626400000003,0.07469022706535042,67.4,14.825653442597396
100,1.0,0.4,1.5,1.5,0.0,1000000,0.05;0.5;0.95,1.0121998586160856,0.01822389397079719,0.004723941599999999,0.0393396711516799,118.4,50.82617435928067
100,1.0,0.5,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.0,0.0,0.0001949179999999983,0.0003116438924707386,12.0,0.7071067811865476
100,1.0,0.5,0.25,0.25,0.0,1000000,0.05;0.5;0.95,1.0,0.0,0.0006452960000000015,0.00105077588237602,17.2,3.420526275297414
100,1.0,0.5,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.0,0.0,0.0006007100000000014,0.0008855205129366457,20.4,2.6076809620810595
100,1.0,0.5,0.75,0.75,0.0,1000000,0.05;0.5;0.95,1.0,0.0,0.0009222519999999979,0.0014979479715459098,29.0,6.48074069840786
100,1.0,0.5,1.0,1.0,0.0,1000000,0.05;0.5;0.95,1.0,0.0,0.0010077439999999986,0.0015736036206844125,53.8,30.817202987941656
