n,density,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter
100,1.0,0.2,0.0,0.0,0.5,1000000,[0.0],2.6629236724030103,0.3913221868489953,0.1587359666332,0.2583237449385978,32.9,5.043147165543886
100,1.0,0.2,0.5,0.5,0.5,1000000,[0.0],2.7750343667578354,0.3075170814506554,0.1597266469757,0.25372488325314,33.8,20.842264752180842
100,1.0,0.2,1.0,1.0,0.5,1000000,[0.0],2.698520080976059,0.524222729749492,0.1551387578862,0.25214210546867505,32.1,10.50343859039611
100,1.0,0.2,1.5,1.5,0.5,1000000,[0.0],2.9286924172288886,0.4145560044423377,0.15555229712149998,0.2453481662229162,55.4,34.348540321565665
100,1.0,0.3,0.0,0.0,0.5,1000000,[0.0],1.9145924639886935,0.14199661487373205,0.1584581287047,0.2852699037107908,23.1,2.131770260709264
100,1.0,0.3,0.5,0.5,0.5,1000000,[0.0],1.7962908588372202,0.2435775844913929,0.1359389384036,0.25893153322560447,22.1,2.4244128727957572
100,1.0,0.3,1.0,1.0,0.5,1000000,[0.0],1.81716141150231,0.34631143465745906,0.136573822464,0.2617043275725276,45.4,15.421485733295034
100,1.0,0.3,1.5,1.5,0.5,1000000,[0.0],1.816375177173806,0.2061285310612121,0.1355635524768,0.25919895065981663,66.3,23.30498277669868
100,1.0,0.5,0.0,0.0,0.5,1000000,[0.0],1.0786495841511599,0.15156083449558688,0.0241335157542,0.13648901941599292,38.7,23.74891810401289
100,1.0,0.5,0.5,0.5,0.5,1000000,[0.0],1.057636471591545,0.07690787694834773,0.019036484597999996,0.11789028833692598,37.9,15.891647002260164
100,1.0,0.5,1.0,1.0,0.5,1000000,[0.0],1.3409827424220424,0.40968237585704115,0.0664034633696,0.20152839889779206,32.4,4.087922591134904
100,1.0,0.5,1.5,1.5,0.5,1000000,[0.0],1.089386515350601,0.11353248765612911,0.0247258458483,0.12540429697592706,33.6,2.5473297566057065
