,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.00001,std_ncluster_0.00001,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr,avg_ncluster_0.01,std_ncluster_0.01,avg_ncluster_0.001,std_ncluster_0.001
278,100,1.0,0.5,0.0,0.0,0.1,1000000,0.05;0.5;0.95,4.660696245222008,0.8664730677802523,0.0137487989,0.0270700777521319,1000000.0,0.0,43.60735918046352,7.181469370173474,97.0,0.47296589,0.0300022332662589,0.4725885000000001,0.0,0.0014,0.0009,0.0017,0.4537687387264311,0.163370222847856,1.9512554074356996,0.1671463030526712,0.48843298384002676,4.656229267500755,0.870688326986109,21.425385766639284,3.162547314711196
279,100,1.0,0.3,1.0,1.0,0.4,1000000,0.0,2.0448649942159367,1.0405239562730906,0.14151745514027,0.2655922741838122,38.62,14.027951894108927,15.2749213536184,9.613356386071596,97.0,0.438263512503,0.2995190471346842,0.620776515,0.3177999999999999,0.0733999999999999,0.0081,0.3177999999999999,0.7410926206452289,0.2758488671958382,0.995472436710997,0.4364128618329093,0.24918397188825067,2.044864994215937,1.0353082645002032,4.861077405085594,1.2482564917365293
280,100,1.0,0.2,1.0,1.0,0.2,1000000,0.05;0.95,3.538192938908057,1.3623469738179788,0.1833250485799999,0.2914062903385431,55.31,7.3384211001021376,15.481441606327817,6.38243959236118,97.0,0.4967056360000002,0.342443583541911,0.4978803500000001,0.2994,0.2928,0.29,0.2994,1.2598549703913562,0.2493938259050713,1.5238158002006077,0.4782346441863347,0.3814374557417274,3.537734185853909,1.3550945355749069,5.444843048728186,1.7911894609367272
281,100,1.0,0.5,0.0,0.0,0.2,1000000,0.5,1.0,0.0,0.0001759446,0.0003030140748354,26.07,8.69372814682568,3.035688901859735,0.97013107734146,97.0,0.49983234,0.000343676240096,0.499787,0.0,1.0,0.0,0.0,0.0035167806020142,0.0269643484156302,0.0035167806020142,0.0269643484156302,0.0008803110225379994,1.0,0.0,1.2550678519787524,0.2682124384541866
282,100,1.0,0.3,0.75,0.75,0.5,1000000,0.0,1.849415223333354,0.5072822463512078,0.14000022433802,0.2675759637262886,28.72,9.352879964821724,13.237414640986232,7.550770245084089,97.0,0.4474716630499999,0.3003278911950213,0.6333955400000001,0.3118,0.0724,0.0028,0.3118,0.6783478616703907,0.1796847802718099,0.9056979402317752,0.3077750609558654,0.22671186238326918,1.8494152233333545,0.5047394621866772,4.462457481579675,0.8865588718826742
283,100,1.0,0.2,1.5,1.5,0.3,1000000,0.05;0.5;0.95,2.952185891342332,0.1857223518827058,0.1788444014,0.2802497821825519,35.3,3.7431418769679454,7.549614852089618,1.944865503693585,1.0,0.49712976,0.331677441867887,0.5001,0.2719999999999999,0.428,0.269,0.2719999999999999,1.2328640802906832,0.1109994446946649,1.250092082236928,0.1123217801725054,0.3129196739058342,2.9516170018061727,0.17711025803472044,3.3422124051891173,0.2503917994706984
284,100,1.0,0.4,0.0,0.0,0.5,1000000,0.0,1.6000283092363004,0.4019291866201325,0.10829587578846,0.2467013937164579,31.37,20.32347252202574,13.599389821656173,13.902138959251142,97.0,0.2640939866339999,0.2350924001753385,0.3306799234500001,0.5991000000000001,0.0504999999999999,0.0,0.5991000000000001,0.4678303611152461,0.2789438946930071,0.4914241172298213,0.3048167286748138,0.12301195783741727,1.6000283092363,0.399914491293514,1.7813882226632192,0.5409310820008358
285,100,1.0,0.2,1.5,1.5,0.2,1000000,0.05;0.5;0.95,2.914181818907679,0.2850788598349175,0.1762333670899999,0.2780280434047096,57.42,7.798186787434447,6.670291149803975,2.2938826849908467,97.0,0.506766553,0.3282289739736478,0.5044869999999999,0.2624999999999999,0.4294999999999999,0.2767,0.2624999999999999,1.2298202865075272,0.1623502766880797,1.2448466614374667,0.1754908475218861,0.31160665433760437,2.9141818189076787,0.28364988412042186,3.4446215642493274,0.6676183390364466
286,100,1.0,0.2,0.5,0.5,0.5,1000000,0.05;0.95,3.3500986552126992,1.1022803164176471,0.1821537328399999,0.2874212645549929,29.44,9.889612957262004,10.736773331994447,4.594688774213567,97.0,0.4975315600000001,0.3388443383483722,0.5222295000000001,0.2892999999999999,0.3364999999999999,0.281,0.2892999999999999,1.2327920385659676,0.2166971633022033,1.4141879299363995,0.4246193143769066,0.35399570332883157,3.349902496779455,1.0967279833470944,4.3328898209840405,1.3127928500559953
287,100,1.0,0.3,0.5,0.5,0.3,1000000,0.05;0.95,1.8815190411036469,0.2007069777568021,0.2016569697899999,0.3712005293405986,49.41,6.958890832321026,8.421772702105436,3.910872689494435,97.0,0.4977785390000001,0.420757484998284,0.4650890999999999,0.4884,0.0246,0.4846999999999999,0.4884,0.6855964037181158,0.0990675182472756,0.6896193675720391,0.1077821510386471,0.17262365763779852,1.8815190411036469,0.199700921407656,2.4430790943061917,0.5202461405547061
